object_id,path,format,role,authority_status,audience,source_hash,related_source,generated_from,generated_outputs,owner_skill,validation_status,last_validated_at,notes,source_tex_object_id,source_tex_path,source_tex_hash,pdf_hash,build_command,build_status,built_at
PDF-LEGACY-ONTOLOGY-AETHER-FLOW-CONSISTENCY,legacy_ontology/pdfs/aether_flow_consistency.pdf,pdf,pdf_derivative,generated_noncanonical,human_readers,2ae5b31098d75fe6eb889452d9e5bd198a759c474c816dfb2550713732c94209,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-CONSISTENCY,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-CONSISTENCY,wiki/pdf/pdf-legacy-ontology-aether-flow-consistency.md,pdf-derivative-build,PASS,2026-06-18T03:52:34Z,Generated human-reading derivative from registered TeX source.,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-CONSISTENCY,legacy_ontology/tex/aether_flow_consistency.tex,e751e7f4c4867d5e3d697e3a21e34367da1dbeacc32b6b3a32658d5df1a991e8,2ae5b31098d75fe6eb889452d9e5bd198a759c474c816dfb2550713732c94209,pdflatex -interaction=nonstopmode -halt-on-error <source.tex> (x3),built,
PDF-LEGACY-ONTOLOGY-AETHER-FLOW-DYNAMICS,legacy_ontology/pdfs/aether_flow_dynamics.pdf,pdf,pdf_derivative,generated_noncanonical,human_readers,8e398858b81055855b3da2b23fadd145a7894db127fffbdd02bbabb00a809e54,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-DYNAMICS,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-DYNAMICS,wiki/pdf/pdf-legacy-ontology-aether-flow-dynamics.md,pdf-derivative-build,PASS,2026-06-18T03:52:34Z,Generated human-reading derivative from registered TeX source.,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-DYNAMICS,legacy_ontology/tex/aether_flow_dynamics.tex,66cbb5c56694abcaff2e3679bc8f5899076acc5b4a1b9bbb4a55871f7a0ad0f4,8e398858b81055855b3da2b23fadd145a7894db127fffbdd02bbabb00a809e54,pdflatex -interaction=nonstopmode -halt-on-error <source.tex> (x3),built,
PDF-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-FLAGSHIP-ARTICLE,legacy_ontology/pdfs/aether_flow_exact_closure_flagship_article.pdf,pdf,pdf_derivative,generated_noncanonical,human_readers,cf892f9c139a133fab6afb46e277936a4b0716d19684b8d6cb30f782b5ac0c3a,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-FLAGSHIP-ARTICLE,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-FLAGSHIP-ARTICLE,wiki/pdf/pdf-legacy-ontology-aether-flow-exact-closure-flagship-article.md,pdf-derivative-build,PASS,2026-06-18T03:52:34Z,Generated human-reading derivative from registered TeX source.,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-FLAGSHIP-ARTICLE,legacy_ontology/tex/aether_flow_exact_closure_flagship_article.tex,ec4ea642009a242e8d030d7d59a174d20a82f6f693a6144cd1cc95ad778543ef,cf892f9c139a133fab6afb46e277936a4b0716d19684b8d6cb30f782b5ac0c3a,pdflatex -interaction=nonstopmode -halt-on-error <source.tex> (x3),built,
PDF-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-NOTE,legacy_ontology/pdfs/aether_flow_exact_closure_note.pdf,pdf,pdf_derivative,generated_noncanonical,human_readers,1e35f468e7c8982ce808e7acca02637777705c6c877ed3d2dde6cf499b08b044,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-NOTE,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-NOTE,wiki/pdf/pdf-legacy-ontology-aether-flow-exact-closure-note.md,pdf-derivative-build,PASS,2026-06-18T03:52:34Z,Generated human-reading derivative from registered TeX source.,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-NOTE,legacy_ontology/tex/aether_flow_exact_closure_note.tex,0d954fa44d238b6f14d04f82873b4e117925e5920e87c408525dc451a2662100,1e35f468e7c8982ce808e7acca02637777705c6c877ed3d2dde6cf499b08b044,pdflatex -interaction=nonstopmode -halt-on-error <source.tex> (x3),built,
PDF-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-SEQUENCE-OVERVIEW,legacy_ontology/pdfs/aether_flow_exact_closure_sequence_overview.pdf,pdf,pdf_derivative,generated_noncanonical,human_readers,6d5686b3a6ba35787b870fdd6645571ff662b27fd83e24886e16340083b9ffe5,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-SEQUENCE-OVERVIEW,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-SEQUENCE-OVERVIEW,wiki/pdf/pdf-legacy-ontology-aether-flow-exact-closure-sequence-overview.md,pdf-derivative-build,PASS,2026-06-18T03:52:34Z,Generated human-reading derivative from registered TeX source.,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-EXACT-CLOSURE-SEQUENCE-OVERVIEW,legacy_ontology/tex/aether_flow_exact_closure_sequence_overview.tex,5cdb51f8d16d53c3a64d7e0c6e2c140fde2020e33d90177e50b2f98b8ba71fbf,6d5686b3a6ba35787b870fdd6645571ff662b27fd83e24886e16340083b9ffe5,pdflatex -interaction=nonstopmode -halt-on-error <source.tex> (x3),built,
PDF-LEGACY-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,legacy_ontology/pdfs/aether_flow_foundations.pdf,pdf,pdf_derivative,generated_noncanonical,human_readers,2aee525d1493734c1ea63ff6caf5acb3693bc5c7d26d3a90623930ee72b25ba8,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,wiki/pdf/pdf-legacy-ontology-aether-flow-foundations.md,pdf-derivative-build,PASS,2026-06-18T03:52:34Z,Generated human-reading derivative from registered TeX source.,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,legacy_ontology/tex/aether_flow_foundations.tex,c754ac32f4db4e3cd1a4cac5b15048b24c3d9965819c843857c6851e3242fb00,2aee525d1493734c1ea63ff6caf5acb3693bc5c7d26d3a90623930ee72b25ba8,pdflatex -interaction=nonstopmode -halt-on-error <source.tex> (x3),built,
PDF-LEGACY-ONTOLOGY-AETHER-FLOW-GEOMETRY,legacy_ontology/pdfs/aether_flow_geometry.pdf,pdf,pdf_derivative,generated_noncanonical,human_readers,fe782bc8d7b3144ef5842330052abd79cb3b1e402ed4f78b860b9db2530d8859,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-GEOMETRY,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-GEOMETRY,wiki/pdf/pdf-legacy-ontology-aether-flow-geometry.md,pdf-derivative-build,PASS,2026-06-18T03:52:34Z,Generated human-reading derivative from registered TeX source.,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-GEOMETRY,legacy_ontology/tex/aether_flow_geometry.tex,839074e6fefa9ef4e7ea5635118d808593dfcd5f58c778285293c8194624ba10,fe782bc8d7b3144ef5842330052abd79cb3b1e402ed4f78b860b9db2530d8859,pdflatex -interaction=nonstopmode -halt-on-error <source.tex> (x3),built,
PDF-LEGACY-ONTOLOGY-AETHER-FLOW-RELATIVISTIC-RECOVERY,legacy_ontology/pdfs/aether_flow_relativistic_recovery.pdf,pdf,pdf_derivative,generated_noncanonical,human_readers,d8beb9c07ced4df5f5146af4b32c6feb759ef8abe96419e713fa3afb860aef88,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-RELATIVISTIC-RECOVERY,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-RELATIVISTIC-RECOVERY,wiki/pdf/pdf-legacy-ontology-aether-flow-relativistic-recovery.md,pdf-derivative-build,PASS,2026-06-18T03:52:34Z,Generated human-reading derivative from registered TeX source.,TEX-LEGACY-ONTOLOGY-AETHER-FLOW-RELATIVISTIC-RECOVERY,legacy_ontology/tex/aether_flow_relativistic_recovery.tex,1cc7d93547083adcf3d5fd80ec927c7c0e0288f9e42a3959f814532d32e6038f,d8beb9c07ced4df5f5146af4b32c6feb759ef8abe96419e713fa3afb860aef88,pdflatex -interaction=nonstopmode -halt-on-error <source.tex> (x3),built,
PDF-ONTOLOGY-AETHER-FLOW-CONSISTENCY,ontology/pdfs/aether_flow_consistency.pdf,pdf,pdf_derivative,generated_noncanonical,human_readers,d6841d387276f47d5f50633cc624bb40417d70d01e09effb46564a55efe1ea4e,TEX-ONTOLOGY-AETHER-FLOW-CONSISTENCY,TEX-ONTOLOGY-AETHER-FLOW-CONSISTENCY,wiki/pdf/pdf-ontology-aether-flow-consistency.md,pdf-derivative-build,PASS,2026-06-27T15:59:47Z,Generated human-reading derivative from registered TeX source.,TEX-ONTOLOGY-AETHER-FLOW-CONSISTENCY,ontology/tex/aether_flow_consistency.tex,6d5b3c79cce8c3fb46e739a28156fae1181b96ae8ddd16bd82db09dd6fae3a19,d6841d387276f47d5f50633cc624bb40417d70d01e09effb46564a55efe1ea4e,pdflatex -interaction=nonstopmode -halt-on-error <source.tex> (x3),built,2026-06-27T15:59:47Z
PDF-ONTOLOGY-AETHER-FLOW-DYNAMICS,ontology/pdfs/aether_flow_dynamics.pdf,pdf,pdf_derivative,generated_noncanonical,human_readers,a0dbca73fd26adb1bc93c8628eb42fb14d103d36d810ca12cd7f464b4b15f7dd,TEX-ONTOLOGY-AETHER-FLOW-DYNAMICS,TEX-ONTOLOGY-AETHER-FLOW-DYNAMICS,wiki/pdf/pdf-ontology-aether-flow-dynamics.md,pdf-derivative-build,PASS,2026-06-27T15:59:47Z,Generated human-reading derivative from registered TeX source.,TEX-ONTOLOGY-AETHER-FLOW-DYNAMICS,ontology/tex/aether_flow_dynamics.tex,c126ffb5bd62a68d4a1cad58c332d4009f51d293b6d1d5220aeed8784a0b588d,a0dbca73fd26adb1bc93c8628eb42fb14d103d36d810ca12cd7f464b4b15f7dd,pdflatex -interaction=nonstopmode -halt-on-error <source.tex> (x3),built,2026-06-27T15:59:47Z
